condition,model,prompt_id,n_trials,parse_rate,tool_correct_rate,tool_consistency,tool_diversity
stagent_context,claude-haiku-4-5-20251001,trajectory,10,1.0,0.3,0.5714,2
stagent_context,gemini-2.5-flash,cellchat,10,1.0,1.0,1.0,1
stagent_context,gemini-2.5-flash,cnv,10,1.0,0.3,0.7,2
stagent_context,gemini-2.5-flash,deconvolution_rctd,10,1.0,1.0,1.0,1
stagent_context,gemini-2.5-flash,moran_i,10,1.0,1.0,1.0,1
stagent_context,gemini-2.5-flash,spatial_domains,10,1.0,0.9,0.7,3
stagent_context,gemini-2.5-flash,spatial_plot,10,1.0,1.0,1.0,1
stagent_context,gemini-2.5-flash,svg_detection,10,1.0,1.0,1.0,1
stagent_context,gemini-2.5-flash,trajectory,10,1.0,0.6,0.6,3
stagent_context,gpt-5.4,cellchat,10,1.0,1.0,0.7,2
stagent_context,gpt-5.4,cnv,10,1.0,1.0,1.0,1
stagent_context,gpt-5.4,deconvolution_rctd,10,1.0,0.9,0.9,2
stagent_context,gpt-5.4,moran_i,10,1.0,1.0,0.9,2
stagent_context,gpt-5.4,spatial_domains,10,1.0,1.0,0.8,2
stagent_context,gpt-5.4,spatial_plot,10,1.0,1.0,1.0,1
stagent_context,gpt-5.4,svg_detection,10,1.0,1.0,0.8,2
stagent_context,gpt-5.4,trajectory,10,1.0,0.8,0.8,2
